SETTLEMENTDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
1/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
2/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
3/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
4/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
5/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
6/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
7/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
8/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
9/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
10/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
11/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
12/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
13/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
14/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
15/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
16/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
18/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
21/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
22/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
23/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
24/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
25/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
26/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
27/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
28/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
29/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
30/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
31/01/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
1/02/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
2/02/2018 0:00,-988.6,-500,0,30,60,90,150,300,1000,5000
