SETTLEMENTDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
1/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,7401,9841.07
2/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,7401,9841.07
3/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,7401,9841.07
4/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
5/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
6/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
7/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
8/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
9/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
10/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
11/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
12/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
13/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
14/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
15/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
16/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
17/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
18/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
19/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
20/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
21/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
22/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
23/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
24/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
25/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
26/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
27/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
28/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
29/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
30/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
31/01/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
1/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
2/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
3/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
4/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
5/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
6/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
7/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
8/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
9/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
10/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
11/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
12/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
13/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
14/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
15/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
16/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
17/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
18/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
19/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
20/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
21/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
22/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
23/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
24/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
25/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
26/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
27/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
28/02/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
1/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
2/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
3/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
4/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
5/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
6/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
7/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
8/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
9/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
10/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
11/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
12/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
13/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
14/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
15/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
16/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
17/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
18/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
19/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
20/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
21/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
22/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
23/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
24/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
25/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
26/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
27/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
28/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
29/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
30/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
31/03/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
1/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
2/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
3/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
4/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
5/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
6/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
7/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
8/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
9/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
10/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
11/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
12/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
13/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
14/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
15/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
16/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
17/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
18/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
19/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
20/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
21/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
22/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
23/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
24/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
25/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
26/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
27/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
28/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
29/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
30/04/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
1/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
2/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
3/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
4/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
5/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
6/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
7/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
8/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
9/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
10/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
11/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
12/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
13/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
14/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
15/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
16/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
17/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
18/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
19/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
20/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
21/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
22/05/2010 0:00,-986.8,9.6,28.35,34.26,54,87.83,295.05,4830.39,8387.8,9841.07
