SETTLEMENTDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
1/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
31/01/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/02/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
31/03/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/04/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
31/05/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/06/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
31/07/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
10/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
11/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
12/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
13/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
14/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
15/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
16/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
17/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
18/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
19/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
20/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
21/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
22/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
23/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
24/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
25/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
26/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
27/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
28/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
29/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
30/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
31/08/2010 0:00,0,5,15,25,40,60,100,168,300,3500
1/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
2/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
3/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
4/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
5/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
6/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
7/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
8/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
9/09/2010 0:00,0,5,15,25,40,60,100,168,300,3500
